Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal
2025.07.04 01:35:14,562.0,XAUUSDc,sell,3.46 / 3.46,0.0,,,2025.07.04 01:35:14,filled,sl 3330.332,2025.07.04 01:35:14,557.0,XAUUSDc,sell,out,3.46,3330.31,0,0.0,-7.17,219.14,sl 3330.332
2025.07.08 00:03:03,563.0,XAUUSDc,sell,3.22 / 3.22,0.0,3335.675,3317.342,2025.07.08 00:03:03,filled,Range Breakout Sell,2025.07.08 00:03:03,558.0,XAUUSDc,sell,in,3.22,3333.386,0,0.0,0.0,219.14,Range Breakout Sell
2025.07.08 00:04:37,564.0,XAUUSDc,buy,3.22 / 3.22,0.0,,,2025.07.08 00:04:37,filled,sl 3335.675,2025.07.08 00:04:37,559.0,XAUUSDc,buy,out,3.22,3335.692,0,0.0,-7.43,211.71,sl 3335.675
2025.07.09 00:03:01,565.0,XAUUSDc,buy,1.38 / 1.38,0.0,3301.815,3343.161,2025.07.09 00:03:01,filled,Range Breakout Buy,2025.07.09 00:03:01,560.0,XAUUSDc,buy,in,1.38,3306.467,0,0.0,0.0,211.71,Range Breakout Buy
2025.07.09 01:13:30,566.0,XAUUSDc,sell,1.38 / 1.38,0.0,,,2025.07.09 01:13:30,filled,sl 3301.815,2025.07.09 01:13:30,561.0,XAUUSDc,sell,out,1.38,3301.79,0,0.0,-6.45,205.26,sl 3301.815
2025.07.10 00:45:06,567.0,XAUUSDc,buy,4.49 / 4.49,0.0,3320.329,3332.668,2025.07.10 00:45:06,filled,Range Breakout Buy,2025.07.10 00:45:06,562.0,XAUUSDc,buy,in,4.49,3321.907,0,0.0,0.0,205.26,Range Breakout Buy
2025.07.10 00:45:40,568.0,XAUUSDc,sell,4.49 / 4.49,0.0,,,2025.07.10 00:45:40,filled,sl 3320.329,2025.07.10 00:45:40,563.0,XAUUSDc,sell,out,4.49,3320.307,0,0.0,-7.18,198.08,sl 3320.329
2025.07.14 07:30:02,569.0,XAUUSDc,buy,1.56 / 1.56,0.0,3370.738,3405.019,2025.07.14 07:30:02,filled,Range Breakout Buy,2025.07.14 07:30:02,564.0,XAUUSDc,buy,in,1.56,3374.832,0,0.0,0.0,198.08,Range Breakout Buy
2025.07.14 07:38:00,570.0,XAUUSDc,sell,1.56 / 1.56,0.0,,,2025.07.14 07:38:00,filled,sl 3370.738,2025.07.14 07:38:00,565.0,XAUUSDc,sell,out,1.56,3370.728,0,0.0,-6.4,191.68,sl 3370.738
2025.07.15 13:27:03,571.0,XAUUSDc,sell,2.39 / 2.39,0.0,3343.16,3321.506,2025.07.15 13:27:03,filled,Range Breakout Sell,2025.07.15 13:27:03,566.0,XAUUSDc,sell,in,2.39,3340.866,0,0.0,0.0,191.68,Range Breakout Sell
2025.07.15 13:53:39,572.0,XAUUSDc,buy,2.39 / 2.39,0.0,,,2025.07.15 13:53:39,filled,sl 3343.160,2025.07.15 13:53:39,567.0,XAUUSDc,buy,out,2.39,3343.165,0,0.0,-5.49,186.19,sl 3343.160
2025.07.22 12:45:06,573.0,XAUUSDc,buy,2.76 / 2.76,0.0,3401.687,3419.876,2025.07.22 12:45:06,filled,Range Breakout Buy,2025.07.22 12:45:06,568.0,XAUUSDc,buy,in,2.76,3404.077,0,0.0,0.0,186.19,Range Breakout Buy
2025.07.22 12:49:37,574.0,XAUUSDc,sell,2.76 / 2.76,0.0,,,2025.07.22 12:49:37,filled,sl 3401.687,2025.07.22 12:49:37,569.0,XAUUSDc,sell,out,2.76,3401.681,0,0.0,-6.61,179.58,sl 3401.687
2025.07.23 01:06:08,575.0,XAUUSDc,sell,1.16 / 1.16,0.0,3430.262,3388.799,2025.07.23 01:06:08,filled,Range Breakout Sell,2025.07.23 01:06:08,570.0,XAUUSDc,sell,in,1.16,3425.437,0,0.0,0.0,179.58,Range Breakout Sell
2025.07.23 09:06:38,576.0,XAUUSDc,buy,1.16 / 1.16,0.0,,,2025.07.23 09:06:38,filled,sl 3430.262,2025.07.23 09:06:38,571.0,XAUUSDc,buy,out,1.16,3430.275,0,0.0,-5.61,173.97,sl 3430.262
2025.07.24 01:09:01,577.0,XAUUSDc,sell,0.85 / 0.85,0.0,3391.667,3336.65,2025.07.24 01:09:01,filled,Range Breakout Sell,2025.07.24 01:09:01,572.0,XAUUSDc,sell,in,0.85,3385.473,0,0.0,0.0,173.97,Range Breakout Sell
2025.07.24 01:15:37,578.0,XAUUSDc,buy,0.85 / 0.85,0.0,,,2025.07.24 01:15:37,filled,sl 3391.667,2025.07.24 01:15:37,573.0,XAUUSDc,buy,out,0.85,3391.676,0,0.0,-5.27,168.7,sl 3391.667
2025.07.25 02:21:02,579.0,XAUUSDc,sell,7.4 / 7.4,0.0,3365.671,3359.524,2025.07.25 02:21:02,filled,Range Breakout Sell,2025.07.25 02:21:02,574.0,XAUUSDc,sell,in,7.4,3364.892,0,0.0,0.0,168.7,Range Breakout Sell
2025.07.25 02:25:37,580.0,XAUUSDc,buy,7.4 / 7.4,0.0,,,2025.07.25 02:25:37,filled,sl 3365.671,2025.07.25 02:25:37,575.0,XAUUSDc,buy,out,7.4,3365.677,0,0.0,-5.81,162.89,sl 3365.671
2025.07.30 00:03:05,581.0,XAUUSDc,buy,1.81 / 1.81,0.0,3327.206,3351.407,2025.07.30 00:03:05,filled,Range Breakout Buy,2025.07.30 00:03:05,576.0,XAUUSDc,buy,in,1.81,3329.853,0,0.0,0.0,162.89,Range Breakout Buy
2025.07.30 01:35:42,582.0,XAUUSDc,sell,1.81 / 1.81,0.0,,,2025.07.30 01:35:42,filled,sl 3327.206,2025.07.30 01:35:42,577.0,XAUUSDc,sell,out,1.81,3327.193,0,0.0,-4.82,158.07,sl 3327.206
2025.07.31 00:03:01,583.0,XAUUSDc,buy,2.16 / 2.16,0.0,3284.339,3304.058,2025.07.31 00:03:01,filled,Range Breakout Buy,2025.07.31 00:03:01,578.0,XAUUSDc,buy,in,2.16,3286.627,0,0.0,0.0,158.07,Range Breakout Buy
2025.07.31 00:07:36,584.0,XAUUSDc,sell,2.16 / 2.16,0.0,,,2025.07.31 00:07:36,filled,sl 3284.339,2025.07.31 00:07:36,579.0,XAUUSDc,sell,out,2.16,3284.318,0,0.0,-4.99,153.08,sl 3284.339
2025.08.01 03:12:08,585.0,XAUUSDc,buy,1.31 / 1.31,0.0,3293.493,3324.903,2025.08.01 03:12:08,filled,Range Breakout Buy,2025.08.01 03:12:08,580.0,XAUUSDc,buy,in,1.31,3297.22,0,0.0,0.0,153.08,Range Breakout Buy
2025.08.01 03:21:24,586.0,XAUUSDc,sell,1.31 / 1.31,0.0,,,2025.08.01 03:21:24,filled,sl 3293.493,2025.08.01 03:21:24,581.0,XAUUSDc,sell,out,1.31,3293.486,0,0.0,-4.89,148.19,sl 3293.493
